interval_seconds,pass_seconds,pass_cycles,busy_percent,saturated
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
2.0,0.07743332,7743332.0,3.871666,0
1.0,0.07743332,7743332.0,7.743332,0
1.0,0.07743332,7743332.0,7.743332,0
2.0,0.07743332,7743332.0,3.871666,0
2.0,0.07743332,7743332.0,3.871666,0
2.0,0.07743332,7743332.0,3.871666,0
2.0,0.07743332,7743332.0,3.871666,0
2.0,0.07743332,7743332.0,3.871666,0
2.0,0.07743332,7743332.0,3.871666,0
2.0,0.07743332,7743332.0,3.871666,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
5.0,0.07743332,7743332.0,1.5486664,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
10.0,0.07743332,7743332.0,0.7743332,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
30.0,0.07743332,7743332.0,0.25811106666666667,0
60.0,0.07743332,7743332.0,0.12905553333333333,0
